trajectory_id,subject_id,tissue,sex,x_sample_id,y_sample_id,persist_y_sample_id,x_time,y_time,kind,split
liver|F|1,mouse_016,liver,F,liver_4M_F1,liver_4M_F1,liver_4M_F1,4.0,4.0,contemporaneous_train,train
liver|F|1,mouse_016,liver,F,liver_8M_F1,liver_8M_F1,liver_8M_F1,8.0,8.0,contemporaneous_train,train
liver|F|1,mouse_016,liver,F,liver_12M_F1,liver_12M_F1,liver_12M_F1,12.0,12.0,contemporaneous_train,train
liver|F|1,mouse_016,liver,F,liver_4M_F1,liver_8M_F1,liver_4M_F1,4.0,8.0,aligned_lag_train,train
liver|F|1,mouse_016,liver,F,liver_8M_F1,liver_12M_F1,liver_8M_F1,8.0,12.0,aligned_lag_train,train
liver|F|1,mouse_016,liver,F,liver_8M_F1,liver_12M_F1,liver_8M_F1,8.0,12.0,aligned_lag_val,val
liver|F|1,mouse_016,liver,F,liver_12M_F1,liver_20M_F1,liver_12M_F1,12.0,20.0,aligned_lag_test,test
liver|F|2,mouse_017,liver,F,liver_4M_F2,liver_4M_F2,liver_4M_F2,4.0,4.0,contemporaneous_train,train
liver|F|2,mouse_017,liver,F,liver_8M_F2,liver_8M_F2,liver_8M_F2,8.0,8.0,contemporaneous_train,train
liver|F|2,mouse_017,liver,F,liver_12M_F2,liver_12M_F2,liver_12M_F2,12.0,12.0,contemporaneous_train,train
liver|F|2,mouse_017,liver,F,liver_4M_F2,liver_8M_F2,liver_4M_F2,4.0,8.0,aligned_lag_train,train
liver|F|2,mouse_017,liver,F,liver_8M_F2,liver_12M_F2,liver_8M_F2,8.0,12.0,aligned_lag_train,train
liver|F|2,mouse_017,liver,F,liver_8M_F2,liver_12M_F2,liver_8M_F2,8.0,12.0,aligned_lag_val,val
liver|F|2,mouse_017,liver,F,liver_12M_F2,liver_20M_F2,liver_12M_F2,12.0,20.0,aligned_lag_test,test
liver|F|3,mouse_018,liver,F,liver_4M_F3,liver_4M_F3,liver_4M_F3,4.0,4.0,contemporaneous_train,train
liver|F|3,mouse_018,liver,F,liver_8M_F3,liver_8M_F3,liver_8M_F3,8.0,8.0,contemporaneous_train,train
liver|F|3,mouse_018,liver,F,liver_12M_F3,liver_12M_F3,liver_12M_F3,12.0,12.0,contemporaneous_train,train
liver|F|3,mouse_018,liver,F,liver_4M_F3,liver_8M_F3,liver_4M_F3,4.0,8.0,aligned_lag_train,train
liver|F|3,mouse_018,liver,F,liver_8M_F3,liver_12M_F3,liver_8M_F3,8.0,12.0,aligned_lag_train,train
liver|F|3,mouse_018,liver,F,liver_8M_F3,liver_12M_F3,liver_8M_F3,8.0,12.0,aligned_lag_val,val
liver|F|3,mouse_018,liver,F,liver_12M_F3,liver_20M_F3,liver_12M_F3,12.0,20.0,aligned_lag_test,test
liver|F|4,mouse_019,liver,F,liver_4M_F4,liver_4M_F4,liver_4M_F4,4.0,4.0,contemporaneous_train,train
liver|F|4,mouse_019,liver,F,liver_8M_F4,liver_8M_F4,liver_8M_F4,8.0,8.0,contemporaneous_train,train
liver|F|4,mouse_019,liver,F,liver_12M_F4,liver_12M_F4,liver_12M_F4,12.0,12.0,contemporaneous_train,train
liver|F|4,mouse_019,liver,F,liver_4M_F4,liver_8M_F4,liver_4M_F4,4.0,8.0,aligned_lag_train,train
liver|F|4,mouse_019,liver,F,liver_8M_F4,liver_12M_F4,liver_8M_F4,8.0,12.0,aligned_lag_train,train
liver|F|4,mouse_019,liver,F,liver_8M_F4,liver_12M_F4,liver_8M_F4,8.0,12.0,aligned_lag_val,val
liver|F|4,mouse_019,liver,F,liver_12M_F4,liver_20M_F4,liver_12M_F4,12.0,20.0,aligned_lag_test,test
liver|F|5,mouse_020,liver,F,liver_4M_F5,liver_4M_F5,liver_4M_F5,4.0,4.0,contemporaneous_train,train
liver|F|5,mouse_020,liver,F,liver_8M_F5,liver_8M_F5,liver_8M_F5,8.0,8.0,contemporaneous_train,train
liver|F|5,mouse_020,liver,F,liver_12M_F5,liver_12M_F5,liver_12M_F5,12.0,12.0,contemporaneous_train,train
liver|F|5,mouse_020,liver,F,liver_4M_F5,liver_8M_F5,liver_4M_F5,4.0,8.0,aligned_lag_train,train
liver|F|5,mouse_020,liver,F,liver_8M_F5,liver_12M_F5,liver_8M_F5,8.0,12.0,aligned_lag_train,train
liver|F|5,mouse_020,liver,F,liver_8M_F5,liver_12M_F5,liver_8M_F5,8.0,12.0,aligned_lag_val,val
liver|F|5,mouse_020,liver,F,liver_12M_F5,liver_20M_F5,liver_12M_F5,12.0,20.0,aligned_lag_test,test
liver|M|1,mouse_011,liver,M,liver_4M_M1,liver_4M_M1,liver_4M_M1,4.0,4.0,contemporaneous_train,train
liver|M|1,mouse_011,liver,M,liver_8M_M1,liver_8M_M1,liver_8M_M1,8.0,8.0,contemporaneous_train,train
liver|M|1,mouse_011,liver,M,liver_12M_M1,liver_12M_M1,liver_12M_M1,12.0,12.0,contemporaneous_train,train
liver|M|1,mouse_011,liver,M,liver_4M_M1,liver_8M_M1,liver_4M_M1,4.0,8.0,aligned_lag_train,train
liver|M|1,mouse_011,liver,M,liver_8M_M1,liver_12M_M1,liver_8M_M1,8.0,12.0,aligned_lag_train,train
liver|M|1,mouse_011,liver,M,liver_8M_M1,liver_12M_M1,liver_8M_M1,8.0,12.0,aligned_lag_val,val
liver|M|1,mouse_011,liver,M,liver_12M_M1,liver_20M_M1,liver_12M_M1,12.0,20.0,aligned_lag_test,test
liver|M|2,mouse_012,liver,M,liver_4M_M2,liver_4M_M2,liver_4M_M2,4.0,4.0,contemporaneous_train,train
liver|M|2,mouse_012,liver,M,liver_8M_M2,liver_8M_M2,liver_8M_M2,8.0,8.0,contemporaneous_train,train
liver|M|2,mouse_012,liver,M,liver_12M_M2,liver_12M_M2,liver_12M_M2,12.0,12.0,contemporaneous_train,train
liver|M|2,mouse_012,liver,M,liver_4M_M2,liver_8M_M2,liver_4M_M2,4.0,8.0,aligned_lag_train,train
liver|M|2,mouse_012,liver,M,liver_8M_M2,liver_12M_M2,liver_8M_M2,8.0,12.0,aligned_lag_train,train
liver|M|2,mouse_012,liver,M,liver_8M_M2,liver_12M_M2,liver_8M_M2,8.0,12.0,aligned_lag_val,val
liver|M|2,mouse_012,liver,M,liver_12M_M2,liver_20M_M2,liver_12M_M2,12.0,20.0,aligned_lag_test,test
liver|M|3,mouse_013,liver,M,liver_4M_M3,liver_4M_M3,liver_4M_M3,4.0,4.0,contemporaneous_train,train
liver|M|3,mouse_013,liver,M,liver_8M_M3,liver_8M_M3,liver_8M_M3,8.0,8.0,contemporaneous_train,train
liver|M|3,mouse_013,liver,M,liver_12M_M3,liver_12M_M3,liver_12M_M3,12.0,12.0,contemporaneous_train,train
liver|M|3,mouse_013,liver,M,liver_4M_M3,liver_8M_M3,liver_4M_M3,4.0,8.0,aligned_lag_train,train
liver|M|3,mouse_013,liver,M,liver_8M_M3,liver_12M_M3,liver_8M_M3,8.0,12.0,aligned_lag_train,train
liver|M|3,mouse_013,liver,M,liver_8M_M3,liver_12M_M3,liver_8M_M3,8.0,12.0,aligned_lag_val,val
liver|M|3,mouse_013,liver,M,liver_12M_M3,liver_20M_M3,liver_12M_M3,12.0,20.0,aligned_lag_test,test
liver|M|4,mouse_014,liver,M,liver_4M_M4,liver_4M_M4,liver_4M_M4,4.0,4.0,contemporaneous_train,train
liver|M|4,mouse_014,liver,M,liver_8M_M4,liver_8M_M4,liver_8M_M4,8.0,8.0,contemporaneous_train,train
liver|M|4,mouse_014,liver,M,liver_12M_M4,liver_12M_M4,liver_12M_M4,12.0,12.0,contemporaneous_train,train
liver|M|4,mouse_014,liver,M,liver_4M_M4,liver_8M_M4,liver_4M_M4,4.0,8.0,aligned_lag_train,train
liver|M|4,mouse_014,liver,M,liver_8M_M4,liver_12M_M4,liver_8M_M4,8.0,12.0,aligned_lag_train,train
liver|M|4,mouse_014,liver,M,liver_8M_M4,liver_12M_M4,liver_8M_M4,8.0,12.0,aligned_lag_val,val
liver|M|4,mouse_014,liver,M,liver_12M_M4,liver_20M_M4,liver_12M_M4,12.0,20.0,aligned_lag_test,test
liver|M|5,mouse_015,liver,M,liver_4M_M5,liver_4M_M5,liver_4M_M5,4.0,4.0,contemporaneous_train,train
liver|M|5,mouse_015,liver,M,liver_8M_M5,liver_8M_M5,liver_8M_M5,8.0,8.0,contemporaneous_train,train
liver|M|5,mouse_015,liver,M,liver_12M_M5,liver_12M_M5,liver_12M_M5,12.0,12.0,contemporaneous_train,train
liver|M|5,mouse_015,liver,M,liver_4M_M5,liver_8M_M5,liver_4M_M5,4.0,8.0,aligned_lag_train,train
liver|M|5,mouse_015,liver,M,liver_8M_M5,liver_12M_M5,liver_8M_M5,8.0,12.0,aligned_lag_train,train
liver|M|5,mouse_015,liver,M,liver_8M_M5,liver_12M_M5,liver_8M_M5,8.0,12.0,aligned_lag_val,val
liver|M|5,mouse_015,liver,M,liver_12M_M5,liver_20M_M5,liver_12M_M5,12.0,20.0,aligned_lag_test,test
