sample_id,subject_id,time,time_unit,condition,batch,tissue,sex,replicate,original_index,batch_metabolomics
liver_12M_F1,mouse_026,12,months,liver_12M_female,prot_20230426,liver,F,1,26,metab_single_batch
liver_12M_F2,mouse_027,12,months,liver_12M_female,prot_20230426,liver,F,2,27,metab_single_batch
liver_12M_F3,mouse_028,12,months,liver_12M_female,prot_20230426,liver,F,3,28,metab_single_batch
liver_12M_F4,mouse_029,12,months,liver_12M_female,prot_20230426,liver,F,4,29,metab_single_batch
liver_12M_F5,mouse_030,12,months,liver_12M_female,prot_20230426,liver,F,5,30,metab_single_batch
liver_12M_M1,mouse_021,12,months,liver_12M_male,prot_20230426,liver,M,1,21,metab_single_batch
liver_12M_M2,mouse_022,12,months,liver_12M_male,prot_20230426,liver,M,2,22,metab_single_batch
liver_12M_M3,mouse_023,12,months,liver_12M_male,prot_20230426,liver,M,3,23,metab_single_batch
liver_12M_M4,mouse_024,12,months,liver_12M_male,prot_20230426,liver,M,4,24,metab_single_batch
liver_12M_M5,mouse_025,12,months,liver_12M_male,prot_20230426,liver,M,5,25,metab_single_batch
liver_20M_F1,mouse_036,20,months,liver_20M_female,prot_20230426,liver,F,1,36,metab_single_batch
liver_20M_F2,mouse_037,20,months,liver_20M_female,prot_20230426,liver,F,2,37,metab_single_batch
liver_20M_F3,mouse_038,20,months,liver_20M_female,prot_20230426,liver,F,3,38,metab_single_batch
liver_20M_F4,mouse_039,20,months,liver_20M_female,prot_20230426,liver,F,4,39,metab_single_batch
liver_20M_F5,mouse_040,20,months,liver_20M_female,prot_20230426,liver,F,5,40,metab_single_batch
liver_20M_M1,mouse_031,20,months,liver_20M_male,prot_20230426,liver,M,1,31,metab_single_batch
liver_20M_M2,mouse_032,20,months,liver_20M_male,prot_20230426,liver,M,2,32,metab_single_batch
liver_20M_M3,mouse_033,20,months,liver_20M_male,prot_20230426,liver,M,3,33,metab_single_batch
liver_20M_M4,mouse_034,20,months,liver_20M_male,prot_20230426,liver,M,4,34,metab_single_batch
liver_20M_M5,mouse_035,20,months,liver_20M_male,prot_20230426,liver,M,5,35,metab_single_batch
liver_4M_F1,mouse_006,4,months,liver_4M_female,prot_20230426,liver,F,1,6,metab_single_batch
liver_4M_F2,mouse_007,4,months,liver_4M_female,prot_20230426,liver,F,2,7,metab_single_batch
liver_4M_F3,mouse_008,4,months,liver_4M_female,prot_20230426,liver,F,3,8,metab_single_batch
liver_4M_F4,mouse_009,4,months,liver_4M_female,prot_20230426,liver,F,4,9,metab_single_batch
liver_4M_F5,mouse_010,4,months,liver_4M_female,prot_20230426,liver,F,5,10,metab_single_batch
liver_4M_M1,mouse_001,4,months,liver_4M_male,prot_20230426,liver,M,1,1,metab_single_batch
liver_4M_M2,mouse_002,4,months,liver_4M_male,prot_20230426,liver,M,2,2,metab_single_batch
liver_4M_M3,mouse_003,4,months,liver_4M_male,prot_20230426,liver,M,3,3,metab_single_batch
liver_4M_M4,mouse_004,4,months,liver_4M_male,prot_20230426,liver,M,4,4,metab_single_batch
liver_4M_M5,mouse_005,4,months,liver_4M_male,prot_20230426,liver,M,5,5,metab_single_batch
liver_8M_F1,mouse_016,8,months,liver_8M_female,prot_20230426,liver,F,1,16,metab_single_batch
liver_8M_F2,mouse_017,8,months,liver_8M_female,prot_20230426,liver,F,2,17,metab_single_batch
liver_8M_F3,mouse_018,8,months,liver_8M_female,prot_20230426,liver,F,3,18,metab_single_batch
liver_8M_F4,mouse_019,8,months,liver_8M_female,prot_20230426,liver,F,4,19,metab_single_batch
liver_8M_F5,mouse_020,8,months,liver_8M_female,prot_20230426,liver,F,5,20,metab_single_batch
liver_8M_M1,mouse_011,8,months,liver_8M_male,prot_20230426,liver,M,1,11,metab_single_batch
liver_8M_M2,mouse_012,8,months,liver_8M_male,prot_20230426,liver,M,2,12,metab_single_batch
liver_8M_M3,mouse_013,8,months,liver_8M_male,prot_20230426,liver,M,3,13,metab_single_batch
liver_8M_M4,mouse_014,8,months,liver_8M_male,prot_20230426,liver,M,4,14,metab_single_batch
liver_8M_M5,mouse_015,8,months,liver_8M_male,prot_20230426,liver,M,5,15,metab_single_batch
