source_node,target_node,relationship,database,evidence,confidence,reference,via
A0A075B5J7;A0A0G2JF45,immunoglobulin,protein_to_pathway,name_rules,gene IGKV14-130,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5J9;A0A075B5K3;A0A0G2JDN5;A0A0G2JFA8,immunoglobulin,protein_to_pathway,name_rules,gene IGKV17-121,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5K0,immunoglobulin,protein_to_pathway,name_rules,gene IGKV14-126,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5K2,immunoglobulin,protein_to_pathway,name_rules,gene IGKV9-124,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5K6,immunoglobulin,protein_to_pathway,name_rules,gene IGKV2-109,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5K7;A0A0G2JG36,immunoglobulin,protein_to_pathway,name_rules,gene IGKV14-100,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5K8;A0A0B4J1I0;A0A140T8M0;A0A140T8N1;F6XWB2,immunoglobulin,protein_to_pathway,name_rules,gene IGKV1-110,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5K8;F6XWB2,immunoglobulin,protein_to_pathway,name_rules,gene IGKV1-99,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5K9;A0A0G2JGF9,immunoglobulin,protein_to_pathway,name_rules,gene IGKV12-98,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5L0,immunoglobulin,protein_to_pathway,name_rules,gene IGKV10-95,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5L1,immunoglobulin,protein_to_pathway,name_rules,gene IGKV10-94,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5L2,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-91,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5L4;A0A0G2JGW8,immunoglobulin,protein_to_pathway,name_rules,gene IGKV12-89,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5L5;A0A0G2JGE7,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-86,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5L7,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-80,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5M1,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-63,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5M2,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-61,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5M3,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-58,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5M4,immunoglobulin,protein_to_pathway,name_rules,gene IGKV4-57-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5M7,immunoglobulin,protein_to_pathway,name_rules,gene IGKV5-39,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5M8;A0A0G2JEI7,immunoglobulin,protein_to_pathway,name_rules,gene IGKV12-38,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5N2;A0A0G2JEI6;A0A140T8P2,immunoglobulin,protein_to_pathway,name_rules,gene IGKV6-20,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5N3,immunoglobulin,protein_to_pathway,name_rules,gene IGKV8-28,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5N4,immunoglobulin,protein_to_pathway,name_rules,gene IGKV8-27,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5N7,immunoglobulin,protein_to_pathway,name_rules,gene IGKV6-13,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5N8;A0A0G2JGN0;A0A140T8P0,immunoglobulin,protein_to_pathway,name_rules,gene IGKV3-10,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5N9,immunoglobulin,protein_to_pathway,name_rules,gene IGKV3-7,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5P0,immunoglobulin,protein_to_pathway,name_rules,gene IGKV3-2,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5P1,immunoglobulin,protein_to_pathway,name_rules,gene IGKV3-1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5P3;A0A0A6YVP0,immunoglobulin,protein_to_pathway,name_rules,gene IGHG2B,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5P4;A0A0A6YWR2,immunoglobulin,protein_to_pathway,name_rules,gene IGHG1,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5P5;A0A1Y7VJN6,immunoglobulin,protein_to_pathway,name_rules,gene IGHG3,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5P6;A0A075B6A0,immunoglobulin,protein_to_pathway,name_rules,gene IGHM,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5P8,immunoglobulin,protein_to_pathway,name_rules,gene IGHV2-2,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5P9,immunoglobulin,protein_to_pathway,name_rules,gene IGHV5-4,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
A0A075B5Q0,immunoglobulin,protein_to_pathway,name_rules,gene IGHV5-6,medium,Name-rule prior from gene symbols and metabolite names only,immunoglobulin
