model,source_feature,target_feature,source_name,target_name,source_modality,target_modality,prior,gradient,occlusion,permutation
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ","1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ","1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ","1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",metabolomics,metabolomics,0.0,0.0063502753856971685,0.00643924563129593,0.006512222614131892
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",1-methyluric acid,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",1-Methyluric acid,metabolomics,metabolomics,0.0,0.0022912037613912724,0.0022901996118552324,0.002366230406486562
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",1-methylxanthine,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",1-Methylxanthine,metabolomics,metabolomics,0.0,0.0008859327866423938,0.000894962366024217,0.0009164791338856493
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000000049,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Apoh,metabolomics,proteomics,0.0,0.0006083886214771997,0.0006128005034341844,0.0006240519999156732
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000000769,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Serpinf1,metabolomics,proteomics,0.0,0.001501251940798282,0.0015289186330561953,0.0015355826558320909
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000000910,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Dbh,metabolomics,proteomics,0.0,0.003667638950705171,0.003773932983493183,0.0037957035048505026
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000001156,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Cfp,metabolomics,proteomics,0.0,0.0011285898402635859,0.001171353903145344,0.0011831978134024521
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000002663,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Pon1,metabolomics,proteomics,0.0,0.009509350282309476,0.009745825875952595,0.009896062155235742
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000003071,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Apoc4,metabolomics,proteomics,0.0,0.00323229067808153,0.003289630173927104,0.00333784471345518
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000005218,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Cd44,metabolomics,proteomics,0.0,0.003184076051960474,0.0031966933894392578,0.0032620937914210396
embedding_field_ode,"1-(beta-d-ribofuranosyl)-1,4-dihydronicotinamide ",10090.ENSMUSP00000005334,"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide ",Shbg,metabolomics,proteomics,0.0,0.004553974205472698,0.0046139320356408,0.004712478671201448
