model,round,requires_prior,device,hparams,n_folds,fold,n_trials,optuna_val_median_pcc,val_median_pcc,test_median_pcc,test_mean_pcc,test_median_spearman,test_rmse,test_mae,test_n_targets_scored,test_protein_median_pcc,test_protein_rmse,test_metabolite_median_pcc,test_metabolite_rmse,hidden,epochs,best_epoch,source,role,chunk_size,n_heads,latent,beta,weight_decay
mlp,1,False,cuda,"{""hidden"": 256, ""epochs"": 30, ""lr"": 0.0024950292438859524, ""weight_decay"": 1.3549853367563292e-06}",1,1,15,0.2360680465157261,0.2360680465157261,0.5632208984543549,0.5192893134084667,0.5049656226126814,0.8435671156995646,0.622811852424294,338,0.5291804638085416,0.8150955437865578,0.6237735960646192,0.8818084453439742,256.0,30.0,11.0,,,,,,,
neural_ode,1,False,cuda,"{""hidden"": 128, ""epochs"": 60, ""lr"": 0.00023317386092874137}",1,1,15,0.18082271274091932,0.18082271274091932,0.4113059479543911,0.39861587289353756,0.374942704354469,0.8982559672556201,0.6764014817266353,338,0.43219021772983723,0.8358437702548173,0.39607891001820206,0.978814238949299,128.0,60.0,,Chen et al. 2018 latent adapter,,,,,,
feature_chunk_lstm,1,False,cuda,"{""hidden"": 64, ""chunk_size"": 32, ""epochs"": 50, ""lr"": 0.0013729360673564515}",1,1,15,0.04314519745636634,0.04314519745636634,0.020700783365639394,0.02364770115863612,0.01925133689839572,0.973588392281242,0.7327888397608673,338,0.03775993608818389,0.9155846437282359,-0.0031197721324141663,1.049273205459241,,,,,feature_encoder_not_temporal,32.0,,,,
cross_attn_fusion,1,False,cuda,"{""hidden"": 128, ""n_heads"": 2, ""epochs"": 30, ""lr"": 0.00010403737666071413}",1,1,15,0.058252272191206364,0.058252272191206364,0.1992070521800024,0.1914504940651209,0.18380443086325438,0.962334493643505,0.7233436932646056,338,0.209756021808869,0.9033713478293005,0.19567674601946314,1.039127825802064,128.0,30.0,,CrossAttOmics / TMO-Net cross-attention adapter,,,2.0,,,
gated_fusion,1,False,cuda,"{""hidden"": 128, ""epochs"": 50, ""lr"": 0.002869139536545374}",1,1,15,0.22256288520689732,0.22256288520689732,0.5539514802057444,0.499315378159025,0.4805194805194805,0.8545547026173416,0.6339180493150778,338,0.5193562554982946,0.821893706291256,0.6097899217050686,0.8982007979146154,128.0,50.0,,gated multimodal fusion,,,,,,
koopman_ae,1,False,cuda,"{""latent"": 16, ""hidden"": 128, ""epochs"": 50, ""lr"": 0.0003204514282565009}",1,1,15,0.15188546202271044,0.15188546202271044,0.33520104637847914,0.32378588176089285,0.31214667685255915,0.9266778590677095,0.6981186803885283,338,0.3857777369961962,0.8551368773914451,0.3091579862425812,1.0182495348231986,128.0,50.0,,EKATP Koopman autoencoder adapter,,,,16.0,,
dual_lstm,1,False,cuda,"{""hidden"": 16, ""epochs"": 20, ""lr"": 0.0009978773337971526}",1,1,15,0.008958921359271826,0.008958921359271826,0.00951473628438804,0.008478819743739263,0.0018334606569900688,0.9821784219495469,0.7369046570542173,338,0.009887730828549034,0.9220744915469696,0.009141741740227046,1.0604640877257616,16.0,20.0,,dual-stream LSTM,,,,,,
mmvae_forecast,1,False,cuda,"{""hidden"": 64, ""latent"": 16, ""beta"": 0.0002757019185695991, ""epochs"": 50, ""lr"": 0.002934419026292101}",1,1,15,0.17924847042503775,0.17924847042503775,0.45535762137552205,0.4222603189560171,0.39067990832696714,0.8926474286328054,0.6713271296202058,338,0.44718639716235115,0.8403336457222377,0.4613529062238336,0.9609810392346576,64.0,50.0,,TMO-Net dual-VAE forecast adapter,,,,16.0,0.0002757019185695991,
mogonet_fusion,1,False,cuda,"{""hidden"": 32, ""epochs"": 50, ""lr"": 0.000117115099555241}",1,1,15,0.01348297068639764,0.01348297068639764,0.0618737079118629,0.06811884502328822,0.06004583651642475,0.9829708605401236,0.7415126306848889,338,0.06440556433518117,0.9240457355690708,0.0586651419974423,1.0598266824799094,32.0,50.0,,MOGONET dual-tower adapter,,,,,,
graph_omics_ode,1,True,cuda,"{""hidden"": 16, ""epochs"": 25, ""lr"": 0.0015062608192746231}",1,1,15,0.22505628836625702,0.22505628836625702,0.5788208502227046,0.52694871995396,0.5202444614209321,0.9412053594722442,0.7033143722163573,338,0.5041740501087656,0.9459954924172752,0.6892396229904474,0.9344716441729175,16.0,25.0,,,,,,,,
prior_fusion_mlp,1,True,cuda,"{""hidden"": 256, ""epochs"": 50, ""lr"": 0.0009360401594569257}",1,1,15,0.18666470594443568,0.18666470594443568,0.542571404758903,0.4821992173460257,0.46844919786096256,0.8599543547513427,0.6365258588269349,338,0.520260549993229,0.8192174921469305,0.5639563644752354,0.9138343984283483,256.0,50.0,19.0,,,,,,,
embedding_field_ode,1,True,cuda,"{""hidden"": 64, ""epochs"": 40, ""lr"": 0.0003364867144187955}",1,1,15,0.2353383930608309,0.2353383930608309,0.6057070506305027,0.5418236479772084,0.5512605042016806,0.9321743109587368,0.6915657395896195,338,0.5235687324037265,0.9226343898833024,0.688853975340834,0.9453419319284456,64.0,40.0,,,,,,,,0.0001
