trajectory_id,subject_id,tissue,sex,x_sample_id,y_sample_id,persist_y_sample_id,x_time,y_time,kind,split
ZJBOZ2X,ZJBOZ2X,all,F,ZJBOZ2X-E11,ZJBOZ2X-E12,ZJBOZ2X-E11,0.0,2.0,aligned_lag_train,train
ZJBOZ2X,ZJBOZ2X,all,F,ZJBOZ2X-E12,ZJBOZ2X-E13,ZJBOZ2X-E12,2.0,15.0,aligned_lag_train,train
ZJBOZ2X,ZJBOZ2X,all,F,ZJBOZ2X-E13,ZJBOZ2X-E14,ZJBOZ2X-E13,15.0,30.0,aligned_lag_train,train
ZJBOZ2X,ZJBOZ2X,all,F,ZJBOZ2X-E13,ZJBOZ2X-E14,ZJBOZ2X-E13,15.0,30.0,aligned_lag_val,val
ZJBOZ2X,ZJBOZ2X,all,F,ZJBOZ2X-E14,ZJBOZ2X-E15,ZJBOZ2X-E14,30.0,60.0,aligned_lag_test,test
ZJXC41N,ZJXC41N,all,F,ZJXC41N-E11,ZJXC41N-E12,ZJXC41N-E11,0.0,2.0,aligned_lag_train,train
ZJXC41N,ZJXC41N,all,F,ZJXC41N-E12,ZJXC41N-E13,ZJXC41N-E12,2.0,15.0,aligned_lag_train,train
ZJXC41N,ZJXC41N,all,F,ZJXC41N-E13,ZJXC41N-E14,ZJXC41N-E13,15.0,30.0,aligned_lag_train,train
ZJXC41N,ZJXC41N,all,F,ZJXC41N-E13,ZJXC41N-E14,ZJXC41N-E13,15.0,30.0,aligned_lag_val,val
ZJXC41N,ZJXC41N,all,F,ZJXC41N-E14,ZJXC41N-E15,ZJXC41N-E14,30.0,60.0,aligned_lag_test,test
ZK112BX,ZK112BX,all,F,ZK112BX-E11,ZK112BX-E12,ZK112BX-E11,0.0,2.0,aligned_lag_train,train
ZK112BX,ZK112BX,all,F,ZK112BX-E12,ZK112BX-E13,ZK112BX-E12,2.0,15.0,aligned_lag_train,train
ZK112BX,ZK112BX,all,F,ZK112BX-E13,ZK112BX-E14,ZK112BX-E13,15.0,30.0,aligned_lag_train,train
ZK112BX,ZK112BX,all,F,ZK112BX-E13,ZK112BX-E14,ZK112BX-E13,15.0,30.0,aligned_lag_val,val
ZK112BX,ZK112BX,all,F,ZK112BX-E14,ZK112BX-E15,ZK112BX-E14,30.0,60.0,aligned_lag_test,test
ZK4CK8Y,ZK4CK8Y,all,F,ZK4CK8Y-E11,ZK4CK8Y-E12,ZK4CK8Y-E11,0.0,2.0,aligned_lag_train,train
ZK4CK8Y,ZK4CK8Y,all,F,ZK4CK8Y-E12,ZK4CK8Y-E13,ZK4CK8Y-E12,2.0,15.0,aligned_lag_train,train
ZK4CK8Y,ZK4CK8Y,all,F,ZK4CK8Y-E13,ZK4CK8Y-E14,ZK4CK8Y-E13,15.0,30.0,aligned_lag_train,train
ZK4CK8Y,ZK4CK8Y,all,F,ZK4CK8Y-E13,ZK4CK8Y-E14,ZK4CK8Y-E13,15.0,30.0,aligned_lag_val,val
