source_node,target_node,relationship,database,evidence,confidence,reference,via
10090.ENSMUSP00000049729,complement,protein_to_pathway,name_rules,gene MASP2,medium,Name-rule prior from gene symbols and metabolite names only,complement
10090.ENSMUSP00000035658,redox_detox,protein_to_pathway,name_rules,gene QSOX1,medium,Name-rule prior from gene symbols and metabolite names only,redox_detox
10090.ENSMUSP00000025249,lipid_lipoprotein,protein_to_pathway,name_rules,gene APOM,medium,Name-rule prior from gene symbols and metabolite names only,lipid_lipoprotein
10090.ENSMUSP00000103964,redox_detox,protein_to_pathway,name_rules,gene CP,medium,Name-rule prior from gene symbols and metabolite names only,redox_detox
10090.ENSMUSP00000048667,coagulation,protein_to_pathway,name_rules,gene F13A1,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
10090.ENSMUSP00000028681,coagulation,protein_to_pathway,name_rules,gene F2,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
10090.ENSMUSP00000074436,acute_phase,protein_to_pathway,name_rules,gene HP,medium,Name-rule prior from gene symbols and metabolite names only,acute_phase
10090.ENSMUSP00000033477,coagulation,protein_to_pathway,name_rules,gene F9,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
10090.ENSMUSP00000033821,coagulation,protein_to_pathway,name_rules,gene F10,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
10090.ENSMUSP00000056836,complement,protein_to_pathway,name_rules,gene CFD,medium,Name-rule prior from gene symbols and metabolite names only,complement
10090.ENSMUSP00000014578,coagulation,protein_to_pathway,name_rules,gene PLG,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
10090.ENSMUSP00000021948,coagulation,protein_to_pathway,name_rules,gene F12,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
10090.ENSMUSP00000025229,complement,protein_to_pathway,name_rules,gene CFB,medium,Name-rule prior from gene symbols and metabolite names only,complement
10090.ENSMUSP00000068971,coagulation,protein_to_pathway,name_rules,gene SERPINC1,medium,Name-rule prior from gene symbols and metabolite names only,coagulation
10090.ENSMUSP00000024988,complement,protein_to_pathway,name_rules,gene C3,medium,Name-rule prior from gene symbols and metabolite names only,complement
